orgao;area;planta;tratamento;trat_cut;trat_fert;media_carbs_totais;media_prots_totais;gords_totais;taxa_predco
semente;a1;a1c01;C;no;no;0.04351;0.3588;0.018;0.054112323
semente;a1;a1c02;C;no;no;0.06461;0.3378;0.026;0.098376531
semente;a1;a1c08;C;no;no;0.06109;0.3623;0.018;0.018964785
semente;a1;a1c10;C;no;no;0.05345;0.3798;0.071;0.052184806
semente;a1;a1f02;F;no;yes;0.05084;0.315;0.021;0.063305815
semente;a1;a1f03;F;no;yes;0.05012;0.3308;0.017;0.00672043
semente;a1;a1f04;F;no;yes;0.0742;0.315;0.023;0.094985848
semente;a1;a1f05;F;no;yes;0.05276;0.3343;0.021;0.10294807
semente;a2;a2c02;C;no;no;0.06088;0.3465;0.025;0.184346655
semente;a2;a2c03;C;no;no;0.06471;0.3973;0.02;0.190478879
semente;a2;a2c05;C;no;no;0.05892;0.3745;0.026;0.063468735
semente;a2;a2c08;C;no;no;0.08212;0.2765;0.011;0.16841125
semente;a2;a2f01;F;no;yes;0.06502;0.35;0.021;0.054099855
semente;a2;a2f02;F;no;yes;0.05877;0.3465;0.019;0.011580087
semente;a2;a2f03;F;no;yes;0.07345;0.3553;0.015;0.015810204
semente;a2;a2f06;F;no;yes;0.06089;0.343;0.029;0.09081126
